category	es	us
Por-Para	pasamos por Madrid	we went via Madrid
Por-Para	ir por la autopista	go on the motorway/highway
Por-Para	entrar por la puerta trasera	go in by the back door
Por-Para	por el frío	because of the cold
Por-Para	enviar por avíón	send by airmail
Por-Para	hablar por teléfono	talk on the phone
Por-Para	fue escrito por	it was written by
Por-Para	veinte kilómetros por hora	20 kilometres per hour
Por-Para	tocamos a 10 euros por persona	it's 10 euros per person
Por-Para	uno por uno	one by one
Por-Para	estoy por una amnistía	I'm all for a truce
Por-Para	vas tú por mi	you go in my place
Por-Para	tres por cuatro	three times four
Por-Para	por muy caro que sea	however much it is
Por-Para	por mi	because of me
Por-Para	¿por qué?	why?
Por-Para	los cuchillos son para cortar no para jugar	knifes are for cutting and not for playing with
Por-Para	¿para dónde vas?	where are you going?
Por-Para	salimos para Barcelona	we're off to Barcelona
Por-Para	para los años que tiene está muy bien	he/she looks great for his/her age
Por-Para	pesa poco por lo grande que es	he/she doesn't weigh much for his/her size
Por-Para	para estar sano	to be healthy
Por-Para	para ahorrar tiempo	to save time
Por-Para	¿Para qué has venido?	What did you come for?
Por-Para	para que lo entiendas	so you understand
Por-Para	¿Quién eres tú para decir esto?	Who are you to say that?
Por-Para	yo sirvo para profesor	I would be good as a teacher
Por-Para	me voy para mi casa	I'm going home
Por-Para	lo dejamos para otro día	let's leave that for another day
Por-Para	aún tengo para un rato	I've got a lot left
Por-Para	las camisas están para tirarlas	these shirts are ready for the bin
Por-Para	ya no estoy para estos trotes	I'm not up for this stuff anymore, I'm no spring chicken
Por-Para	para mi, te equivocas	in my opinion, you're wrong
Por-Para	hace un frío que para qué	it's very cold
Por-Para	comer por comer	eating for the sake of it
Por-Para	ir por pan	go to get the bread
Por-Para	dar la vida por alguien	give your life for someone
Por-Para	lo celebraron por todo lo alto	they celebrated with no expense spared
Por-Para	cerrado por vacaciones	closed for holidays
Por-Para	este pueblo está por Granada	this village is close to Granada
Por-Para	para mi	for me
Por-Para	por Navidades	around Christmas
Por-Para	no estar para fiestas	I am not in a mood for celebrating
Por-Para	dar gato por liebre	to cheat
Por-Para	poner por las nubes	to rave about someone
Por-Para	por su cuenta	on his own, for himself
Por-Para	por tres meses	for three months
Por-Para	gracias por	thank you for
Por-Para	cinco veces por semana	five times a weekl
Por-Para	le tienen por loco	they think that he is crazy
Por-Para	fueron a Barcelona por el 82	they went to Barcelona around 82
Por-Para	necesito esto para el lunes	I need this by Monday
Por-Para	caso por caso	case by case
