category	es	us	meaning	example
Verbs	To bounce a check	Girar un cheque sin fondos		 I bounced the check for my car payment, and now my car is being repossessed.
Verbs	To bounce off the walls	Estar muy emocionado y tener una gran cantidad de energía		 I was so excited I was bouncing OTW.
Verbs	To brainwash someone	Hacer creer a alguien, algo que no es verdad		
Verbs	To break a deadlock	Resolver un punto muerto		 We need a negotiator to break the deadlock between the company and the union.
Verbs	To break down	Alterarse, Romperse		 I broke down after getting bad grades | The car broke down on the highway.
Verbs	To break out in	Eruptar, brotar	Violence broke out in...	 I broke out in hives (urticaria) or in a cold sweat (un sudor frio)
Verbs	To break the ice	Crea un ambiente más relajado al conocer a alguien o un grupo	 Romper el hielo	 I broke the ice with a joke.
Verbs	To break the news to someone	Darle una noticia a alguien		 He broke the news to me about the house fire.
Verbs	To breathe down someone's neck	Controlar / presionar		 The boss is breathing down my neck to get that report.
Verbs	To bring home the bacon	Ganarse la vida	 Traer el tocino a casa	
Verbs	To bring nothing to the table 			No aportar con nada en una negociación
Verbs	To bring up children = to raise children = educar/cuidar a los niños. |To bring up a subject = topar un tema			
Verbs	To brush off	Descartar casualmente	 To brush - cepillar	 I try to brush off all negative comments.
Verbs	To bug X	Molestar o irritar X	1.My sister won't stop bugging me about helping her clean.|His snoring really bugs me.	Bug=insecto
Verbs	To burn bridges	Destruir vínculos	 Quemar puentes	 Don't insult your boss when you quit
Verbs	To burn the midnight oil	Trabajar hasta las altas horas de la noche		I have a lot of homework tonight
Verbs	To butt in	Interrumpir		 Sorry for butting in to your conversation, but I heard you talking about Ecuador.....
Verbs	To butter someone up	Halagar alguien para persuadirlo	 Poner la mantequilla a alguien	
Verbs	To buy a lemon	Comprar un carro que no funciona bien	 Comprar un limón	
Verbs	To buy out	Comprar por completo (acciones, una compania)		InBev bought out Anheuser-Busch in 2008.
Verbs	To buy X sight unseen	Comprar algo sin verlo / Comprar a ciegas		It is not a good idea to buy a car sight unseen, no matter how good the deal seems!
Verbs	To call it a night	Ir a dormir		 I'm really tired, so I am going to call it a night.
Verbs	To call off	Cancelar		 We had to call off the barbecue because of the rain.
Verbs	To call someone back			 I'm in a meeting now. May I call you back later?
Verbs	To call someone's bluff	Poner en evidencia a alguien		 I'm calling your bluff
Verbs	To call the shots	Ser quien manda de verdad / tener la última palabra	 Llamar los tiros	In my family, Mom called the shots.
Verbs	To carry your own weight	Hacer su propio trabajo sin ayuda de otros	 Cargar tu propio peso	I like having Joe on my team because he carries...
Verbs	To catch (a) cold	Agarrar un catarro	 Coger un resfrío	 With all this snow, I keep catching cold!
Verbs	To catch some z's	dormir	Coger unos z's	" I am so tired! I have to catch some z's. (pronunciado ""zeez"")"
Verbs	To catch someone's eye	Atraer la atención de alguien		The red dress caught my eye. | Catch the waiter's eye to get the check.
Verbs	To catch up	Ponerse al día		
Verbs	To catch 	agarrar, coger		 I need to catch up on my homework. | Catch me up on all the news!
Verbs	To change hands	Cambiar de dueño		The bar has changed hands 3 times in 2 years.
Verbs	To cheer up	Animar(se)		 Leila is depressed
Verbs	To chew someone out	Regañar a alguien	 Masticar X	My doctor chewed me out after I told him I only sleep 5 hours a night.
Verbs	To chicken out	Acobardarse		
Verbs	To chime in	Interrumpir o unirse a una conversación		 Sean always chimes in on people's soccer conversations.
Verbs	To chip in	Ayudar, contribuir		 Let's all chip in to clean up the city. | Let's all chip in to buy Maria's birthday present.
Verbs	To clam up	"Callarse de repente, como ""una almeja"""		When I asked him where he'd been last night, he clammed right up.
Verbs	To clean X out	Robar todo lo que X tiene	 Limpiar a alguien	 Robbers broke into a bank and cleaned them out of cash.
Verbs	To clear the air	Deshacerse de dudas o malos sentimientos		 After hearing rumors, I talked to Sally and we cleared the air.
Verbs	To clown around	Comportarse tonto		 The teacher yelled at the students for clowning around.
Verbs	To come along for the ride	Acompañar una actividad sin tomar parte	 Ir para el paseo	 I'm not hungry but I'll CAFTR to dinner.
Verbs	To come across	Encontrar inesperadamente	I came across this phrase in a book.	 I came across my lost necklace while cleaning.
Verbs	To come clean	Sincerarse		 Kids, I need you to come clean and tell me who stole the exam answers.
Verbs	To come down with	Enfermarse		 I just came down with a cold on the first day of vacation.
Verbs	To come in handy	Ser útil		 I thought my headphones would come in handy on the plane.
Verbs	To come down the pike	Aparecer	Pike = turnpike = carretera (con peaje)	It's one of the best novels TCDTP in some time.
Verbs	To come of age	Llegar a la edad de adulta		 Now that my son came of age he needs to go to the university or get a job.
Verbs	To come out of one's shell	Dejar de ser tímido	 Salir de su concha	
Verbs	To come to a boil	Llegar a un punto crítico	 Empezar a hervir	The problems in the office have come to a boil.
Verbs	 To come to terms with X	Llegar a un acuerdo con X		He came to terms with the other company on the buy-out
Verbs	 To come to terms with X	Llegar a aceptar X		He has finally come to terms with her death
Verbs	To come true	Hacerse realidad		 If you study and work hard, all your dreams can come true.
Verbs	To cook up	Inventar (un plan)	We CU a strategy to deal with the competition.	I had to cook up an excuse to leave the party early.
Verbs	To corner someone	Arrinconar a alguien		I didn't want to tell her about the surprise party, but she cornered me.
Verbs	To count one's blessings	Estar agradecido		Stop complaining about your teacher + count your B she doesn't give pop quizzes!
Verbs	To cover all the bases	Cubrir todas las posibilidades/eventualidades		 The comprehensive report covers all the bases.
Verbs	To cover one's tracks	Cubrir sus huellas	 Cubrir su pista	
Verbs	To cross that bridge when you come to it	Enfrentar un problema cuando surja, no antes.		I will retire next year but I'll CTBWICTI
Verbs	To cross your fingers	Esperar que algo suceda		 I'll cross my fingers that it doesn't rain tomorrow.
Verbs	To cry one's eyes out	Llorar a mares.		 The girl cried her eyes out because she had lost her doll.
Verbs	To cry wolf	Intencionalmente crear falsas alarmas	 Gritar el lobo	" The girl cried wolf when she shouted ""fire!"""
Verbs	To cut back on	Consumir menos, reducir	We need to cut back on our use of electricity.	 I need to cut back on sweets.
Verbs	To cut both ways	Tener efectos positivos y negativos a la vez / por un lado y por otro	 Cortar en ambas direcciones.	
Verbs	To cut corners	Hacer algo de manera imperfecta para ahorrar tiempo/dinero		The constructor CC building the house, making it unsafe
Verbs	To cut to the chase	Ir al grano	 Cortar hasta la caza	 I cut to the chase and told her why I wanted to meet.
Verbs	To dig your own grave	Buscarse un problema / Cavar su propia tumba		Coming to work late after already having a reprimand was like digging...
Verbs	"To do something ""to be on the safe side"""	"Hacer algo ""por si acaso"""		
Verbs	To do without	Arreglárselas sin		 We don't have any candy so you will have to do without.
Verbs	To dodge a bullet	Evitar un problema grave	Evitar una bala	I dodged a bullet by not marrying him
Verbs	To drag one's heels	Hacer algo lentamente o no querer hacerlo	 arrastrar los talones	He didn't want to do it so he dragged...
Verbs	To draw a blank	No poder acordarse de algo / olvidarse de algo		 I used to know that guy's name, but I am drawing a blank.
Verbs	To drop in on	Visitar inesperadamente		 Our neighbors always drop in on us too early on Sunday morning!
Verbs	To drop like flies	Enfermarse en grandes cantidades	 Caer como moscas	 It was so hot that people were dropping like flies
Verbs	To drop the ball	Fallar / cometer un error, especialmente cuando no se hizo alguna tarea	 Hacer caer la pelota	
Verbs	To drop the subject	Dejar de discutir el tema		 I already told you that I didn't want to go to the movies. Let's drop the subject.
Verbs	To drink like a fish	Beber alcohol en grandes cantidades.		 I am really worried about him
Verbs	To drive someone up the wall	Fastidiar a alguien		 Having a roommate is driving MUTW
Verbs	To drive a hard bargain	Saber negociar		 Let's have Jose negotiate for us
Verbs	To dump X = To break up with X	Romper con X		She dumped her boyfriend after she caught him cheating on her.
Verbs	To eat something up	Disfrutar much de algo		 The little kids ate up their grandfather's stories.
Verbs	To eat out	Comer en un restaurante, afuera de la casa.		 I don't want to cook
Verbs	To err is human			
Verbs	To experience something first-hand	Experimentar algo		
Verbs	To explore all avenues	Probar todas las posibilidades de obtener un resultado		 For the best outcome you must explore all avenues.
Verbs	To face the music	Enfrentar las consecuencias		 Mom saw the dent in the car and now you have to face the music.
Verbs	To fall for someone	Enamorarse de alguien	 Caerse por alguien	 I am beginning to fall for Maria.
Verbs	To fall through the cracks	Ser olvidado o descuidado	 Caer a través de las grietas	
Verbs	To feather one's own nest	Usar su trabajo para provecho propio de manera ilegal o inapropiada		The governor feathered his own nest.
Verbs	To feel like a fish out of water	Sentirse incómodo / sentirse como pez fuera del agua		 I felt like a fish out of water with his friends because I don't play golf.
Verbs	To feel like a million bucks	Sentirse saludable y feliz	 Sentirse como un millón de dólares	I feel like a million bucks today!
Verbs	To feel blue	Estar triste.	 Sentirse azúl.	 Let's cheer Maria up
Verbs	To feel under the weather	Sentirse enfermo	 debajo del tiempo	 I'm staying home today because I'm feeling under the weather.
Verbs	To fence	Poner una cerca. | Esgrimir | Vender cosas robadas		
Verbs	To fill (a form) in -or- out		Llenar	To fill up (a gas tank)
Verbs	To fight like cats and dogs	Discutir violentamente / pelear como perros y gatos		When they were kids, he and his sister used to fight like cats and dogs.
Verbs	To fit like a glove	Quedar a la medida	 Glove = guante	 Your red dress fits me like a glove. May I borrow it?
Verbs	To foot the bill	Pagar la cuenta	Poner pie a la cuenta	Frank will foot the bill on his date tonight.
Verbs	To fork out (money) for something	Tener que pagar	 Dar dinero con tenedor	You wouldn't believe how much I had to fork out for my car!
Verbs	To fork over = to hand over	Entregar / soltar		 This is a hold-up. Fork over the dough (money) or I'll shoot
Verbs	To get a charley horse = To get a cramp	Tener un calambre		
Verbs	To get a kick out of	Divertirse, disfrutar de	 A kick = una patada	 I get a kick out of his jokes
Verbs	To get a second wind	Encontrar fuerzas a pesar de estar muy cansado	 Encontrar un segundo viento, de lenguaje de veleros	
Verbs	To get a taste of one's own medicine	Dar una dosis de su propia medicina / Dar el mismo trato que te dan	 Probar su propia medicina	
Verbs	To get a toehold	Encontrar un espacio / Conseguir un punto de apoyo	 Agarrar con el dedo del pie	The new company got a toehold in the market.
Verbs	To get AWAY	Irse de vacaciones, escaparse.		
Verbs	To get AWAY WITH something	Hacer algo (malo) sin ser detectado o tener castigo.		
Verbs	To get away with murder	Salir impune.	 salir impune de asesinato.	 That boy's mother lets him get away with murder.
Verbs	To get back at someone	Pagar con la misma moneda		 I will get back at him for stealing all my candy.
Verbs	To get cracking	Empezar a trabajar / manos a la obra		 We have so much to do
Verbs	To get cold feet	Acobardarse / darse para atrás		 The bride got cold feet and cancelled the wedding.
Verbs	To get down/get out of	Bajarse de	BUT	Get down from a ladder (una escalera) or a tree
Verbs	To get hot under the collar	Enfadarse	 Calentarse debajo del cuello	When they disagree he gets so hot under the collar.
Verbs	To get out of	Evitar hacer algo / deshacerse	salir de algo.	 She always tries to get out of doing the dishes
Verbs	To get (the hell) out of Dodge	Salir inmediatamente de un lugar. Refiere a Dodge City, Kansas, en el tiempo de los cowboys.		
Verbs	To get mixed up	Confundirse		 I got mixed up and went to the party at the wrong time.
Verbs	To get out of hand	Estar fuera de control	 Salir de la mano	 The party got out of hand so the neighbors called the police.
Verbs	To get over it	Superar algo que le molesta		I was upset that I didn't get the job but I got over it. | Just get over it!
Verbs	To get rid of	Deshacerse de, librarse de		I need to get rid of a few pounds .
Verbs	To get/be stuck in traffic	Atrapados en el trafico		 I am always late inside the Beltway because I get stuck in traffic.
Verbs	To get the axe	Perder el empleo.	 Recibir el hacha.	 Fred had the worst evaluations, so he got the axe.
Verbs	To get the ball rolling	Comenzar, empezar	 Empezar a rodar la pelota	
Verbs	To get the nod	Recibir aprobación / tener el visto bueno	 Recibir una inclinación de cabeza.	 She got the nod to be the next Director.
Verbs	To get the word out	Difundir las noticias	 Dejar salir la palabra.	 Let's get the word out about the #RedCross blood drive.
Verbs	To get to the bottom of (something)	Resolver algo mediante la búsqueda de la causa		I'm going to GTTB of what is wrong with Katie
Verbs	To get the show on the road	Poner un plan o idea en acción, empezar		 Now that we're ready, let's get the show on the road!
Verbs	To get through to someone	Comunicarse con.		 I can talk to him all day about the need to study, but I can't get through to him.
Verbs	To get X off the ground	Empezar X	Levantar X de la tierra	 Once we get the project off the ground I can come home earlier.
Verbs	To get your hopes up	Ilusionarse	No te ilusionas	Don't get your hopes up
Verbs	To get your goat	Fastidiarte / Molestarte	 Tomar tu cabra.	 It really got my goat that he wasn't on time to the wedding.
Verbs	To give away	Regalar		 When you want to give away your older clothes, there are many organizations that can use them.
Verbs	To give it a rest	Terminar con el asunto.		 Son, I already told you that you couldn't borrow the car. Now give it a rest!
Verbs	To give it all you've got	Dar todo lo que tienes / esforzarse		 If you want to make it to university, you have to give it all you've got.
Verbs	To give it your best shot	Intentar lo mejor que puedas / Dar lo mejor de ti		Even though you think it will be hard to win, you should give it your best shot!
Verbs	To give one's word	Prometer		 I give you my word that I'll have the car back by 10pm, Dad.
Verbs	To give someone a lift or a ride	Llevar alguien en el carro, dar un aventón.		 Can you give me a ride to the supermarket, please?
Verbs	To give someone a slap on the wrist	Dar a X una sentencia muy leve / Llamada de atención leve	 Dar a X una palmadita en la muñeca	
Verbs	To give someone a ring	Llamar a alguien por teléfono		 Give me a ring later. = Llámame más tarde.
Verbs	To give someone the axe or the boot	Despedir a alguien del trabajo		
Verbs	To give someone the cold shoulder	La relación se ha enfriado	 Ofrecer un hombro frio a alguien	
Verbs	To give someone the shirt off your back	Dar todo lo que tengas		He loves his brother so much that he would give him the shirt...
Verbs	To give someone the third degree	Someter a un interrogatorio		When I came home late, my Mom really gave me...
Verbs	To give something a whirl	Intentar hacer algo	Whirl = giro	 I have never ridden a bicycle but I'll give it a whirl.
Verbs	To give up	1) Dejar de hacer algo: I gave up smoking.		2) rendirse: Don't give up without a fight!
Verbs	To go all out	Hacer todo lo posible		 If you want to win a scholarship, you need to go all out to show your potential.
Verbs	To go back to square one	Volver a empezar		
Verbs	To go back to the drawing board	Volver a empezar (porque un primer intento falló)		The design won't work
Verbs	To go by the book	Seguir exactamente las reglas		The judge really goes by the book and won't look the other way at impropriety.
Verbs	To go Dutch	Cuando cada persona paga lo suyo (en un restaurante)	 Hacer como los holandeses	
Verbs	To go from rags to riches	Pasar de pobre a rico	 Ir de harapos a riqueza	 Bob went from rags to riches by starting his own...
Verbs	To go off on a tangent	Hablar de un tema que no tiene que ver con la conversación		He went OOAT and never returned to our topic
Verbs	To go on a wild goose chase	Una búsqueda inútil	 ir a cazar un ganso salvaje	
Verbs	To go the extra mile	Hacer algo más que lo necesario		 I worked 10 extra hours this week. I went the extra mile.
Verbs	To go under the knife	Tener una cirugía		
Verbs	To go with the flow	Relajarse y estar de acuerdo con lo que sea que suceda		 I don't want to make a decision
Verbs	To go with your gut	Confiar en tus sentimientos para tomar una decisión / Seguir tus instintos	 Ir con tus instintos	If you aren't sure what to do, go WYG
Verbs	To gobble	hacer un sonido parecido al de un pavo. | comer rápidamente		
Verbs	To gossip about	Chismear sobre		My neighbor is always gossiping about someone, so I avoid her.
Verbs	To grab the bull by the horns	Tomar control de una situación / Tomar al toro por los cuernos		 The boss was out and we had an emergency, so I grabbed the...
Verbs	To grow up	Crecer a ser/comportarse como adulto		 Just grow up! (Act mature)
Verbs	To grill someone	Indagar / Hacer muchas preguntas, de manera insistente	 Asar a alguien	
Verbs	To grin and bear it	Aguantar una mala situación	 Sonreír y aguantarlo	 Bob doesn't like his job but he grins and bears it.
Verbs	To grow out of something	Cuando algo te queda pequeño / cuando una persona crece y la ropa ya no le queda		My sister grew out of her jeans, so she gave them to me.
Verbs	To handle with kid gloves	Tratar delicadamente	Manejar una situacion con guantes de piel de cabrito	Handle the art with KG!
Verbs	To hang up	Colgar (el teléfono, un cuadro).		 I know you are angry, but please don't hang up!
Verbs	To have a brainstorm	Tener una idea excelente de repente		I just had a brainstorm about how we can organize the section better!
Verbs	To have a change of heart	Tener una inversión de actitud		My mom said we couldn't go, but then she had a change of H and let us.
Verbs	To have a clean conscience	Tener la conciencia tranquila		I know what I really did and I have a clean conscience.
Verbs	To have a cow	Enfadarse de manera abierta y grande (coloquial y pej.)		 My Mom really had a cow that I got home after curfew.
Verbs	To have a frog in one's throat	Tener carraspera	 Tener una rana en la garganta	
Verbs	To have a way with	Tener buen modo con	He has a way with the ladies: Tiene exito con	 She has a way with words: Es bien expresada
Verbs	To have all your marbles	Estar mentalmente sano	 Tener todo bajo control	 He acts weird, but he's got all his marbles.
Verbs	To have an impact on	Tener un efecto sobre, afectar		 Your smoking has an impact on my health.
Verbs	To have had it with X	Estar harto de X		 I have had it with the contractor not meeting our deadlines.
Verbs	To have in stock / to be out of stock.	"Tener en ""stock"" / estar agotado"		 We are out of stock on the new iPhones.
Verbs	To have lost your marbles	Estar loco	 Haber perdido el control	What are you doing? Have you lost your marbles?
Verbs	To have more holes than Swiss cheese	Tener muchos problemas, ser incompleta	 Tener más agujeros que SC	 His essay had MHTSC
Verbs	To have more than one hat			
Verbs	To have nerves of steel	Ser valiente	 Tener nervios de acero	 I could never go bungee jumping
Verbs	To have one's heart in the right place	Tener buenas intenciones (aunque los resultados son malos)		His effort failed but his heart...
Verbs	To have something to do with	Tener algo que ver con		 The problem has something to do with the original design.
Verbs	To have sticky fingers	Tener la tendencia a robar		Joe has SF
Verbs	To have the gift of gab	Tener habilidad para hablar y convencer / labia.	 Tener el regalo de hablar	 He really has the gift of gab
Verbs	To have the pick of the litter	Poder escoger lo mejor para si	 Escoger el mejor cachorro de la camada	
Verbs	To have time on your hands	Tener tiempo libre		 Some people think it is bad for kids to have too much time on their hands.
Verbs	To have two left feet	No ser bueno para bailar	 Tener dos pies izquierdos	I wish I could salsa, but I have two left feet!
Verbs	To have X down to a science	Tener X perfeccionado		 Pilar has making brownies down to a science.
Verbs	To have your ducks in a row	Tener todo en orden	 Tener tus patos en fila	For college, you must have YDIAR
Verbs	To have your hands full	Tener demasiado a hacer o manejar		The working Mom had her hands full trying to study, too.
Verbs	To have your heart set on	Tener todo tu esperanza puesta en	#inglés 	He had his heart set on going to Harvard.
Verbs	To hit the books	Estudiar mucho	 Pegar los libros	
Verbs	To hit the bulls-eye	Dar en el punto más importante de algo		
Verbs	To hit the hay	Irse a dormir	 Pegar el heno	 I am really tired, so I'll hit the hay early tonight.
Verbs	To hit the ground running	Arrancar con fuerza	 Aterrizar corriendo	
Verbs	To hit the links	Jugar golf		 Would you like to hit the links this weekend?
Verbs	To hit the road	Empezar un viaje 	 Pegar la carretera	
Verbs	To hit the sack	Ir a dormir		
Verbs	To hold down the fort	Cuidar un lugar o actividad mientras alguien esté lejos.		 I need to step out of the office
Verbs	To hold on	Esperar		
Verbs	To hold onto	Agarrarse / aferrarse		 Hold on, I'll be right back. Hold onto your hat, it's windy!
Verbs	To jump on the bandwagon	Unirse en apoyar algo de moda o que tiene éxito		 When my football team won everyone JOTB.
Verbs	To jump the gun	Comenzar algo antes del momento apropiado	 Saltar el arma	 Lisa jumped the gun and started running too early.
Verbs	To jump to a conclusion	Juzgar a la ligera		
Verbs	To keep an eye on X	Cuidar a alguien bien	Tener su ojo en X	The mother told the babysitter to keep a close eye on the baby
Verbs	To keep an eye out for	Estar atento a		 When driving at night, keep an eye out for deer.
Verbs	To keep in mind/to bear in mind	Tener presente / en cuenta.		 I always keep in mind that English will help me get a good job.
Verbs	To keep one's chin up	Mantener buen ánimo	 Tener su barbilla arriba	 Keep your chin up
Verbs	To keep one's eyes peeled (for)	Tener los ojos abiertos (para) / Estar atento	" ""Pelar el ojo"""	 Keep your eyes peeled for a good sale on tv's
Verbs	To keep one's word	Cumplir con su palabra		 You can trust him
Verbs	To keep someone/thing under one's hat	Mantener un secreto	 Tenerlo debajo el sombrero	Don't worry
Verbs	To keep you company	Para acompañarte		 I'll go to your doctor's appointment with you to keep you company.
